"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Autauga",1989,63,54,9,0,0,0,0,100,64,34,0,0,63,0,0,0
"Alabama","Colbert",1989,359,263,53,33,10,0,0,200,107,13,0,0,0,359,0,0
"Alabama","Etowah",1989,57,54,3,0,0,0,0,54,46,28,0,0,0,0,0,57
"Alabama","Houston",1989,39,39,0,0,0,0,0,50,39,24,0,0,0,0,0,39
"Alabama","Jackson",1989,362,268,74,19,1,0,0,193,79,27,0,0,0,362,0,0
"Alabama","Jefferson",1989,365,210,129,22,4,0,0,177,93,46,85,0,170,0,0,110
"Alabama","Lauderdale",1989,348,262,49,31,6,0,0,200,102,14,0,0,0,348,0,0
"Alabama","Madison",1989,365,276,83,6,0,0,0,112,67,38,57,0,240,0,0,68
"Alabama","Marengo",1989,45,44,1,0,0,0,0,52,37,22,0,0,0,0,0,45
"Alabama","Mobile",1989,359,210,88,54,7,0,0,189,112,44,0,0,155,179,0,25
"Alabama","Montgomery",1989,270,227,42,1,0,0,0,112,61,36,0,0,251,0,0,19
"Alabama","Morgan",1989,22,20,2,0,0,0,0,56,35,21,0,0,0,0,0,22
"Alabama","Russell",1989,43,43,0,0,0,0,0,45,35,24,0,0,0,0,0,43
"Alabama","Shelby",1989,257,205,40,12,0,0,0,136,80,37,0,0,236,0,0,21
"Alabama","Tuscaloosa",1989,42,40,2,0,0,0,0,53,44,26,0,0,0,0,0,42
"Alaska","Anchorage ",1989,352,220,124,7,1,0,0,176,76,40,165,0,0,0,0,187
"Alaska","Denali ",1989,278,278,0,0,0,0,0,44,39,30,0,0,248,0,30,0
"Alaska","Fairbanks North Star ",1989,269,199,64,5,1,0,0,158,81,33,170,0,0,0,0,99
"Alaska","Juneau ",1989,362,308,54,0,0,0,0,81,55,22,0,0,0,0,0,362
"Alaska","Kenai Peninsula ",1989,356,350,2,4,0,0,0,119,21,7,0,233,0,76,0,47
"Alaska","Sitka ",1989,177,167,8,2,0,0,0,105,42,19,0,0,0,119,0,58
"Arizona","Apache",1989,340,247,87,6,0,0,0,150,67,44,0,1,318,21,0,0
"Arizona","Cochise",1989,240,156,73,8,3,0,0,175,80,44,0,0,157,0,29,54
"Arizona","Coconino",1989,236,170,66,0,0,0,0,100,67,42,0,0,172,0,41,23
"Arizona","Gila",1989,364,102,100,125,37,0,0,200,153,89,0,0,0,343,12,9
"Arizona","Graham",1989,55,43,12,0,0,0,0,77,58,36,0,0,0,0,0,55
"Arizona","Maricopa",1989,365,89,198,72,6,0,0,198,122,74,151,0,196,0,0,18
"Arizona","Navajo",1989,134,132,2,0,0,0,0,65,30,18,0,0,0,0,91,43
"Arizona","Pima",1989,365,80,265,20,0,0,0,129,90,61,91,78,146,0,1,49
"Arizona","Pinal",1989,349,247,46,47,9,0,0,200,113,21,0,0,0,349,0,0
"Arizona","Santa Cruz",1989,42,22,18,2,0,0,0,145,71,49,0,0,0,0,0,42
"Arizona","Yuma",1989,162,111,36,15,0,0,0,150,93,44,0,0,161,0,0,1
"Arkansas","Arkansas",1989,58,51,7,0,0,0,0,65,52,26,0,0,0,0,0,58
"Arkansas","Ashley",1989,32,29,3,0,0,0,0,60,45,31,0,0,0,0,0,32
"Arkansas","Boone",1989,28,27,1,0,0,0,0,66,44,21,0,0,0,0,0,28
"Arkansas","Craighead",1989,32,31,1,0,0,0,0,61,46,29,0,0,0,0,0,32
"Arkansas","Crittenden",1989,30,28,2,0,0,0,0,55,44,23,0,0,0,0,0,30
"Arkansas","Garland",1989,33,32,1,0,0,0,0,64,36,22,0,0,0,0,0,33
"Arkansas","Jefferson",1989,33,31,2,0,0,0,0,62,41,20,0,0,0,0,0,33
"Arkansas","Marion",1989,30,30,0,0,0,0,0,47,31,16,0,0,0,0,0,30
"Arkansas","Miller",1989,33,32,1,0,0,0,0,51,36,21,0,0,0,0,0,33
"Arkansas","Mississippi",1989,10,9,1,0,0,0,0,86,86,10,0,0,0,0,0,10
"Arkansas","Ouachita",1989,32,31,1,0,0,0,0,52,40,19,0,0,0,0,0,32
"Arkansas","Phillips",1989,33,31,2,0,0,0,0,54,36,22,0,0,0,0,0,33
"Arkansas","Polk",1989,31,31,0,0,0,0,0,47,30,19,0,0,0,0,0,31
"Arkansas","Pope",1989,34,33,1,0,0,0,0,61,32,25,0,0,0,0,0,34
"Arkansas","Pulaski",1989,365,274,76,14,1,0,0,161,74,41,0,47,310,1,0,7
"Arkansas","Sebastian",1989,40,39,1,0,0,0,0,52,43,24,0,0,0,0,0,40
"Arkansas","Union",1989,351,298,44,9,0,0,0,113,65,17,0,0,0,328,0,23
"Arkansas","Washington",1989,36,34,2,0,0,0,0,56,34,25,0,0,0,0,0,36
"Arkansas","White",1989,31,29,2,0,0,0,0,65,36,23,0,0,0,0,0,31
"California","Alameda",1989,365,237,101,22,5,0,0,190,89,44,12,172,176,0,0,5
"California","Butte",1989,365,215,131,18,1,0,0,154,87,44,85,68,202,0,0,10
"California","Colusa",1989,60,56,4,0,0,0,0,59,47,28,0,0,0,0,0,60
"California","Contra Costa",1989,365,204,140,15,6,0,0,179,89,48,15,137,183,21,0,9
"California","Del Norte",1989,329,328,1,0,0,0,0,61,34,25,0,0,289,0,40,0
"California","El Dorado",1989,365,120,181,46,16,2,0,205,133,64,171,5,185,0,3,1
"California","Fresno",1989,365,64,125,91,76,9,0,217,174,100,35,83,235,0,0,12
"California","Glenn",1989,60,58,2,0,0,0,0,60,43,23,0,0,0,0,0,60
"California","Humboldt",1989,344,337,7,0,0,0,0,69,32,11,282,0,0,0,0,62
