cnty_fips,display_name,,Urban-Rural Status,,,,,,
2013,"""Aleutians East, (AK)""",,Rural,,,,,,
2016,"""Aleutians West, (AK)""",,Rural,,,,,,
2020,"""Anchorage, (AK)""",,Small City,,,,,,
2050,"""Bethel, (AK)""",,Rural,,,,,,
2060,"""Bristol Bay, (AK)""",,Rural,,,,,,
2068,"""Denali, (AK)""",,Rural,,,,,,
2070,"""Dillingham, (AK)""",,Rural,,,,,,
2090,"""Fairbanks North Star, (AK)""",,Small City,,,,,,
2100,"""Haines, (AK)""",,Rural,,,,,,
2105,"""Hoonah-Angoon, (AK)""",,Rural,,,,,,
2110,"""Juneau, (AK)""",,Rural,,,,,,
2122,"""Kenai Peninsula, (AK)""",,Rural,,,,,,
2130,"""Ketchikan Gateway, (AK)""",,Rural,,,,,,
2150,"""Kodiak Island, (AK)""",,Rural,,,,,,
2164,"""Lake and Peninsula, (AK)""",,Rural,,,,,,
2170,"""Matanuska-Susitna, (AK)""",,Small City,,,,,,
2180,"""Nome, (AK)""",,Rural,,,,,,
2185,"""North Slope, (AK)""",,Rural,,,,,,
2188,"""Northwest Arctic, (AK)""",,Rural,,,,,,
2195,"""Petersburg, (AK)""",,Rural,,,,,,
2198,"""Prince of Wales-Hyder, (AK)""",,Rural,,,,,,
2220,"""Sitka, (AK)""",,Rural,,,,,,
2230,"""Skagway, (AK)""",,Rural,,,,,,
2240,"""Southeast Fairbanks, (AK)""",,Rural,,,,,,
2261,"""Valdez-Cordova, (AK)""",,Rural,,,,,,
2158,"""Kusilvak, (AK)""",,OTHER,,,,,,
2275,"""Wrangell, (AK)""",,Rural,,,,,,
2282,"""Yakutat, (AK)""",,Rural,,,,,,
2290,"""Yukon-Koyukuk, (AK)""",,Rural,,,,,,
6001,"""Alameda, (CA)""",,Urban,,,,,,
6005,"""Amador, (CA)""",,Rural,,,,,,
6007,"""Butte, (CA)""",,Small City,,,,,,
6009,"""Calaveras, (CA)""",,Rural,,,,,,
6011,"""Colusa, (CA)""",,Rural,,,,,,
6013,"""Contra Costa, (CA)""",,Suburban,,,,,,
6015,"""Del Norte, (CA)""",,Rural,,,,,,
6017,"""El Dorado, (CA)""",,Suburban,,,,,,
6021,"""Glenn, (CA)""",,Rural,,,,,,
6023,"""Humboldt, (CA)""",,Rural,,,,,,
6031,"""Kings, (CA)""",,Small City,,,,,,
6033,"""Lake, (CA)""",,Rural,,,,,,
6035,"""Lassen, (CA)""",,Rural,,,,,,
6041,"""Marin, (CA)""",,Suburban,,,,,,
6043,"""Mariposa, (CA)""",,Rural,,,,,,
6045,"""Mendocino, (CA)""",,Rural,,,,,,
6047,"""Merced, (CA)""",,Small City,,,,,,
6049,"""Modoc, (CA)""",,Rural,,,,,,
6053,"""Monterey, (CA)""",,Small City,,,,,,
6055,"""Napa, (CA)""",,Small City,,,,,,
6057,"""Nevada, (CA)""",,Rural,,,,,,
6061,"""Placer, (CA)""",,Suburban,,,,,,
6063,"""Plumas, (CA)""",,Rural,,,,,,
6067,"""Sacramento, (CA)""",,Urban,,,,,,
